Song,Tempo,Chroma,MFCC,Chords
Confetti - Dear God (Audio),[93.96306818],"[0.39830783009529114, 0.4064362347126007, 0.46656501293182373, 0.4474499523639679, 0.4969284236431122, 0.40972647070884705, 0.4705030024051666, 0.5330556631088257, 0.4291854798793793, 0.464958131313324, 0.45887866616249084, 0.5309526920318604]","[-92.8519515991211, 127.6828842163086, -36.93968200683594, 32.60594177246094, -23.645401000976562, 23.6540584564209, -9.480083465576172, 9.830199241638184, -6.717925071716309, 5.009369373321533, -5.241982936859131, 1.4861892461776733, -0.4081691801548004]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 4, 5, 6, 1, 2, 3, 0, 1, 11, 8, 9, 10]"
Confetti - Ghost (Dark Version),[84.72079918],"[0.5620474815368652, 0.48712271451950073, 0.4792575538158417, 0.5202112197875977, 0.49509021639823914, 0.5663426518440247, 0.49747365713119507, 0.5443348288536072, 0.5615943074226379, 0.4795852601528168, 0.4728059768676758, 0.47184091806411743]","[-99.82354736328125, 137.54173278808594, -25.07461929321289, 42.364376068115234, -14.500743865966797, 27.05339813232422, -5.3889336585998535, 12.499998092651367, -2.101008892059326, 2.794804334640503, -2.6455681324005127, -0.4885420799255371, 1.5282230377197266]","[6, 7, 8, 6, 8, 9, 0, 1, 2, 0, 4, 5, 8, 9, 10, 4, 5, 6, 4, 5, 9, 3, 4, 5, 3, 4, 5, 4, 5, 6]"
Confetti - Rob A Bank (Official Audio),[151.99908088],"[0.5323440432548523, 0.5729012489318848, 0.49822938442230225, 0.4949110746383667, 0.5439605116844177, 0.5431821942329407, 0.5980128049850464, 0.5075594782829285, 0.4678053557872772, 0.5074363946914673, 0.5139384269714355, 0.5530752539634705]","[-85.65620422363281, 131.77163696289062, -33.56049728393555, 37.545963287353516, -19.961650848388672, 32.917274475097656, -2.8836145401000977, 10.051432609558105, -2.8256421089172363, 9.116963386535645, -0.7909083366394043, 2.0883171558380127, 4.990530490875244]","[9, 10, 11, 9, 10, 11, 5, 6, 7, 2, 3, 4, 1, 2, 3, 5, 6, 11, 6, 7, 8, 0, 5, 6, 4, 5, 6, 4, 5, 6]"
Congratulations,[123.046875],"[0.31074848771095276, 0.4227069020271301, 0.4316713511943817, 0.44215744733810425, 0.3819037973880768, 0.5069352388381958, 0.41210174560546875, 0.3492005467414856, 0.4171605408191681, 0.4106588661670685, 0.525642991065979, 0.3350778818130493]","[-105.57539367675781, 162.95394897460938, -32.4564208984375, 22.826854705810547, -9.075740814208984, 16.648252487182617, -8.801965713500977, 8.40206527709961, -3.8194267749786377, 4.937431335449219, -3.020646095275879, -1.7456958293914795, 4.320935249328613]","[0, 1, 11, 0, 3, 11, 0, 3, 4, 4, 5, 6, 1, 2, 3, 1, 2, 3, 1, 2, 3, 2, 3, 4, 2, 3, 4, 2, 3, 4]"
Connor Price & Armani White - Million Cash (Official Lyric Video),[129.19921875],"[0.5089105367660522, 0.48708808422088623, 0.5117896795272827, 0.5256728529930115, 0.5008510947227478, 0.5001987218856812, 0.51423579454422, 0.5527088642120361, 0.6066577434539795, 0.5858250260353088, 0.5700295567512512, 0.5604104399681091]","[-139.46316528320312, 120.76021575927734, -24.965694427490234, 35.85890197753906, -5.4517316818237305, 24.96085548400879, -10.900428771972656, 14.278947830200195, -6.884223461151123, 2.4988057613372803, 2.007586717605591, -0.046432558447122574, 1.7099438905715942]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 2, 3, 4, 2, 3, 9, 3, 8, 9, 4, 8, 9, 1, 3, 4]"
Connor Price & Hoodie Allen - Buddy (Official Lyric Video),[139.67483108],"[0.44134122133255005, 0.5147866606712341, 0.5235228538513184, 0.5967352986335754, 0.6198321580886841, 0.5568090081214905, 0.5201268792152405, 0.5076550245285034, 0.5374755263328552, 0.498808354139328, 0.4274800717830658, 0.3929714858531952]","[-138.93588256835938, 117.88584899902344, -13.190969467163086, 52.8793830871582, -10.331831932067871, 28.69731903076172, -14.658571243286133, 13.212403297424316, -1.336031198501587, 4.996155738830566, -1.8214925527572632, 6.848536014556885, 1.1159663200378418]","[9, 10, 11, 1, 2, 7, 1, 7, 11, 0, 1, 11, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10, 6, 8, 9, 7, 8, 9]"
Connor Price - Chatter (Official Audio),[139.67483108],"[0.4965282082557678, 0.5414560437202454, 0.6062658429145813, 0.591600239276886, 0.6232442259788513, 0.6498906016349792, 0.5814635753631592, 0.5730462074279785, 0.5454183220863342, 0.563610851764679, 0.5381219983100891, 0.4759702682495117]","[-121.46907806396484, 119.47725677490234, -10.923907279968262, 46.99381637573242, -8.533015251159668, 35.94092559814453, -14.640222549438477, 18.464420318603516, -4.049088478088379, 7.4022088050842285, 2.8924403190612793, 6.822499752044678, -0.9832846522331238]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 6, 7, 8, 0, 1, 11]"
Connor Price - These Days (Official Audio),[84.72079918],"[0.6359581351280212, 0.5799659490585327, 0.5412116646766663, 0.5041942000389099, 0.5101892352104187, 0.5209510922431946, 0.5348454117774963, 0.6093709468841553, 0.5829235911369324, 0.591965913772583, 0.6329121589660645, 0.6153697371482849]","[-171.88475036621094, 116.6539306640625, 11.210760116577148, 61.16450881958008, -1.2854256629943848, 29.597900390625, -10.345742225646973, 15.80484676361084, -4.85903787612915, 0.7346014976501465, 2.0630042552948, -3.639335870742798, -2.449523448944092]","[5, 6, 7, 3, 4, 5, 0, 3, 7, 0, 7, 11, 3, 6, 7, 3, 5, 7, 1, 7, 10, 0, 10, 11, 3, 6, 8, 2, 3, 4]"
CONSOUL TRAININ - Obsession feat. Steven Aderinto & DuoViolins (Official Lyric Video),[123.046875],"[0.39273601770401, 0.45019128918647766, 0.4802892506122589, 0.4135516881942749, 0.4311339855194092, 0.40273720026016235, 0.4367111623287201, 0.3422294855117798, 0.3382934033870697, 0.40360110998153687, 0.4306145906448364, 0.5084590911865234]","[-143.655029296875, 134.93765258789062, -16.702436447143555, 38.82204818725586, -23.536256790161133, 26.43536949157715, -13.397842407226562, 8.564957618713379, -8.881637573242188, 3.649588108062744, -0.5246124863624573, -2.3225626945495605, -1.380049705505371]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
CORPSE - NEVER SATISFIED,[161.49902344],"[0.5054420828819275, 0.5235449075698853, 0.5637126564979553, 0.5625386834144592, 0.5882153511047363, 0.6191884279251099, 0.6335078477859497, 0.6109664440155029, 0.6028801798820496, 0.5879501700401306, 0.5465714335441589, 0.5098762512207031]","[-98.25190734863281, 127.30909729003906, -45.58128356933594, 40.52824401855469, -14.89162540435791, 19.688533782958984, -9.05717658996582, 10.69165325164795, -0.04111111909151077, 4.08714485168457, 0.5797839164733887, 1.5946528911590576, 2.99938702583313]","[9, 10, 11, 2, 3, 4, 7, 8, 9, 1, 2, 5, 8, 9, 10, 7, 8, 9, 7, 8, 9, 1, 8, 9, 0, 8, 11, 7, 8, 9]"
CRASPORE - FLASHBACKS (SLOWED) (OFFICIAL AUDIO),[112.34714674],"[0.6478899717330933, 0.7433473467826843, 0.7355846762657166, 0.6226707696914673, 0.5988917350769043, 0.6454337239265442, 0.7212503552436829, 0.6430923342704773, 0.5558954477310181, 0.5360565781593323, 0.5633941292762756, 0.5906203985214233]","[-104.83097839355469, 125.40090942382812, -41.3360710144043, 53.06197738647461, -10.45436954498291, 35.70698928833008, -2.0484488010406494, 17.51580810546875, 3.5643441677093506, 4.875884056091309, 7.839240550994873, 4.564632415771484, 9.852665901184082]","[9, 10, 11, 9, 10, 11, 0, 10, 11, 3, 4, 5, 3, 4, 6, 0, 1, 9, 0, 1, 2, 1, 2, 3, 1, 2, 3, 1, 2, 3]"
Creepin',[97.50884434],"[0.46114447712898254, 0.5049022436141968, 0.4584844410419464, 0.5449582934379578, 0.5846170783042908, 0.3899157643318176, 0.32281315326690674, 0.33183151483535767, 0.41209614276885986, 0.37018072605133057, 0.36907532811164856, 0.4306187629699707]","[-144.4453887939453, 146.2316131591797, 2.8024563789367676, 54.57777404785156, -9.641223907470703, 28.846363067626953, -9.00145435333252, 10.342090606689453, 0.7787135243415833, -3.0427236557006836, -3.5171942710876465, 5.042731285095215, 4.028343677520752]","[4, 7, 8, 6, 7, 8, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 3, 4, 8, 4, 7, 8]"
Cumulus - Losing My Mind (Why Should I Care),[90.66611842],"[0.6097186803817749, 0.558523416519165, 0.5588046312332153, 0.5519768595695496, 0.6476357579231262, 0.5961371660232544, 0.5316982269287109, 0.604796290397644, 0.5440831184387207, 0.515518307685852, 0.5048030018806458, 0.5746839642524719]","[-165.39967346191406, 138.66009521484375, -6.294329643249512, 39.41167449951172, -0.3091764748096466, 20.885595321655273, -2.113081693649292, 9.648529052734375, 1.4463629722595215, 6.799239158630371, 2.372262954711914, 3.2484002113342285, 3.041130781173706]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 0, 10, 11, 4, 5, 6, 3, 4, 5, 4, 5, 8, 2, 3, 4, 2, 3, 4]"
Daddy Yankee - Gasolina (Audio),[95.703125],"[0.44284388422966003, 0.4210503399372101, 0.30891871452331543, 0.31334829330444336, 0.3905945122241974, 0.5258147120475769, 0.5257241129875183, 0.39035913348197937, 0.2891865670681, 0.28307104110717773, 0.3217040002346039, 0.33834800124168396]","[-132.9542236328125, 127.09906768798828, -21.463346481323242, 32.48102951049805, -20.527099609375, 24.062210083007812, -21.50322151184082, 7.98634147644043, -12.036676406860352, 7.453402996063232, -11.542635917663574, 4.998483657836914, -1.4640058279037476]","[0, 1, 11, 0, 1, 11, 3, 4, 5, 0, 10, 11, 9, 10, 11, 8, 9, 10, 8, 9, 10, 2, 3, 4, 0, 2, 3, 4, 5, 6]"
"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",[114.84375],"[0.5252835154533386, 0.5545069575309753, 0.538553774356842, 0.5022340416908264, 0.5184825658798218, 0.4906153976917267, 0.5642091631889343, 0.469909131526947, 0.49324244260787964, 0.5634514093399048, 0.5175061821937561, 0.5543847680091858]","[-142.573486328125, 130.39637756347656, -2.7354679107666016, 45.322959899902344, 0.8114543557167053, 33.05850601196289, -8.938053131103516, 15.738808631896973, -5.879019260406494, 8.714987754821777, -1.6143616437911987, 4.5281524658203125, -0.9539240002632141]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 8, 9, 10, 3, 4, 5, 3, 4, 5, 4, 5, 6, 2, 5, 6, 1, 5, 6, 5, 6, 8]"
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",[172.265625],"[0.3867318332195282, 0.3430960178375244, 0.4026438295841217, 0.4493127167224884, 0.5650497078895569, 0.4246422350406647, 0.3892250657081604, 0.36329108476638794, 0.36466866731643677, 0.37534329295158386, 0.3792375922203064, 0.5327216386795044]","[-148.85711669921875, 118.09075927734375, -44.582359313964844, 41.49137496948242, -18.183679580688477, 26.20841407775879, -16.994558334350586, 21.43894386291504, -7.046961307525635, 9.074169158935547, 4.156139850616455, 3.1277942657470703, 1.7524142265319824]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Deep End,[123.046875],"[0.36837637424468994, 0.2804698050022125, 0.2671067416667938, 0.27742621302604675, 0.35219287872314453, 0.385245680809021, 0.43971648812294006, 0.47981882095336914, 0.4235857129096985, 0.45704004168510437, 0.45064783096313477, 0.4389386773109436]","[-141.32681274414062, 134.261474609375, -17.67148780822754, 34.16035461425781, -0.05602209270000458, 24.972034454345703, -15.739971160888672, 5.625842571258545, -16.08694076538086, -7.352399826049805, -6.120127201080322, -6.664253234863281, -6.429425239562988]","[0, 1, 11, 0, 10, 11, 5, 6, 7, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8]"
Discord,[104.16666667],"[0.4453313648700714, 0.4973171055316925, 0.5260437726974487, 0.6607382297515869, 0.5498835444450378, 0.5264657735824585, 0.58268141746521, 0.5574684739112854, 0.6222360134124756, 0.46113747358322144, 0.4976556897163391, 0.5215216875076294]","[-63.18924331665039, 104.05276489257812, -21.544307708740234, 52.12138748168945, -23.672054290771484, 27.912025451660156, -10.131603240966797, 24.96006202697754, -5.2459211349487305, 14.116572380065918, -6.873197078704834, 9.356195449829102, 1.8169575929641724]","[6, 7, 10, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9, 7, 8, 9]"
DMAD - ＂World Is Spinning＂ (Official Audio),[95.703125],"[0.5308427214622498, 0.5440966486930847, 0.5111823678016663, 0.5202320218086243, 0.595540463924408, 0.5864192843437195, 0.5336790084838867, 0.4695577621459961, 0.4638325572013855, 0.4841879606246948, 0.4764394760131836, 0.5062569379806519]","[-134.8001251220703, 114.78780364990234, -25.01263427734375, 39.868106842041016, -13.373876571655273, 29.37582778930664, -12.60978889465332, 2.4775338172912598, -1.2934695482254028, -1.2823399305343628, 0.30624818801879883, 7.302857875823975, -1.349878191947937]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 6, 7, 8, 2, 3, 4, 0, 1, 2, 0, 1, 8, 1, 2, 3, 2, 3, 4, 2, 3, 4]"
Doja Cat - Woman (Visualizer),[107.66601562],"[0.4799407720565796, 0.44642823934555054, 0.48762738704681396, 0.48042887449264526, 0.45967891812324524, 0.4732895493507385, 0.4557289779186249, 0.525037944316864, 0.46382349729537964, 0.4092404842376709, 0.4203394949436188, 0.4425468146800995]","[-132.0953369140625, 133.0394287109375, -11.952816009521484, 42.16206359863281, -13.387481689453125, 23.669282913208008, -9.335545539855957, 16.230308532714844, -2.6332147121429443, 2.2612831592559814, 3.8095057010650635, -1.2124135494232178, 2.0226526260375977]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Drake - Massive,[83.35433468],"[0.48868411779403687, 0.4872165620326996, 0.5610877275466919, 0.5705066919326782, 0.6175357699394226, 0.5639384388923645, 0.487422376871109, 0.42768147587776184, 0.4164457619190216, 0.36981040239334106, 0.4193967878818512, 0.6173615455627441]","[-175.11378479003906, 119.22918701171875, -1.6680421829223633, 56.57569885253906, -3.0569071769714355, 21.249286651611328, -2.7683417797088623, 10.031850814819336, -3.6756041049957275, 4.04655122756958, -7.767772674560547, 0.6339860558509827, -0.6548382639884949]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 0, 2, 4, 6, 7, 8, 0, 1, 11, 0, 1, 11, 0, 10, 11, 0, 10, 11, 0, 10, 11]"
Drake - One Dance (Lyrics) ft. Wizkid & Kyla,[137.19512195],"[0.4886529743671417, 0.5253034830093384, 0.5036864280700684, 0.5595875978469849, 0.5470352172851562, 0.5931578874588013, 0.5171810984611511, 0.5069108009338379, 0.5418787598609924, 0.5038590431213379, 0.5074405670166016, 0.4473131597042084]","[-194.28451538085938, 146.4185333251953, -7.032826900482178, 35.14745330810547, 4.697542667388916, 13.57498836517334, 2.2817249298095703, 1.083327293395996, 7.515742778778076, 4.145075798034668, 0.35066935420036316, 0.6954056024551392, 5.98798131942749]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Dua Lipa - Love Again (Official Lyrics Video),[114.79591837],"[0.42535245418548584, 0.5560111403465271, 0.43628641963005066, 0.37379392981529236, 0.4032295346260071, 0.441230446100235, 0.6082556843757629, 0.4742412865161896, 0.4699029326438904, 0.4794023036956787, 0.41970932483673096, 0.4401901960372925]","[-119.41999053955078, 119.90128326416016, -22.52456283569336, 42.591766357421875, -1.1561055183410645, 29.453685760498047, -10.304933547973633, 13.812176704406738, -3.247445583343506, 1.7258262634277344, -2.482548475265503, 9.626644134521484, -4.562515735626221]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Dua Lipa - Love Again (Official Music Video),[114.84375],"[0.46050724387168884, 0.5609145164489746, 0.4412841498851776, 0.4179249107837677, 0.45200276374816895, 0.4687719941139221, 0.5873838663101196, 0.4511539041996002, 0.4836372435092926, 0.4954420030117035, 0.43992987275123596, 0.4733233153820038]","[-146.41470336914062, 123.31748962402344, -21.55734634399414, 46.30480194091797, -2.1350255012512207, 31.086774826049805, -10.919397354125977, 17.11847686767578, -4.771056652069092, 2.2442877292633057, 0.7361314296722412, 7.851075172424316, -2.2877073287963867]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Duvall & Sam Gray - Good Feeling (Official Visualizer),[126.04801829],"[0.4972490072250366, 0.519355058670044, 0.48685410618782043, 0.4311314821243286, 0.4741935431957245, 0.40567830204963684, 0.422252357006073, 0.352737158536911, 0.4143858850002289, 0.46546122431755066, 0.4165286123752594, 0.5307473540306091]","[-103.03687286376953, 125.771484375, -27.450824737548828, 39.90899658203125, -28.047000885009766, 29.156166076660156, -6.864527702331543, 4.214066505432129, -5.198876857757568, 4.976387023925781, 0.2148333340883255, -1.591399073600769, 1.1791014671325684]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
DVRST - Close Eyes,[129.19921875],"[0.6748408675193787, 0.6069179773330688, 0.5322952270507812, 0.5346729159355164, 0.594077467918396, 0.6760364770889282, 0.5442053079605103, 0.5084630846977234, 0.4946601986885071, 0.42983460426330566, 0.4169962406158447, 0.4633989930152893]","[-210.31149291992188, 128.90965270996094, -16.900096893310547, 38.47771453857422, 1.0589842796325684, 12.435500144958496, -2.947618007659912, -3.112455129623413, -7.205843448638916, -1.125962734222412, -5.2447686195373535, -2.265753746032715, -0.6929343342781067]","[0, 4, 8, 0, 4, 8, 0, 8, 11, 5, 8, 11, 2, 4, 11, 0, 10, 11, 8, 9, 10, 9, 10, 11, 7, 8, 9, 7, 8, 9]"
E-GIRLS ARE RUINING MY LIFE! ft. Savage Ga$p,[84.72079918],"[0.6440208554267883, 0.6649434566497803, 0.7032760381698608, 0.7351198196411133, 0.737670361995697, 0.7368524670600891, 0.705666720867157, 0.6782116889953613, 0.6428942084312439, 0.6279716491699219, 0.6338045001029968, 0.6210372447967529]","[-103.60627746582031, 119.79377746582031, -17.712379455566406, 51.077842712402344, -11.312625885009766, 35.48997497558594, -10.02398681640625, 14.85473918914795, 4.206310272216797, 7.934950351715088, -1.7060209512710571, 4.174360752105713, 3.395724296569824]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 6, 8, 9, 2, 3, 6, 7, 8, 9, 4, 5, 6, 5, 6, 7]"
Ed Sheeran - Bad Habits [Official Lyric Video],[126.04801829],"[0.4573744237422943, 0.5364833474159241, 0.5253124237060547, 0.4180692732334137, 0.3977782130241394, 0.37206000089645386, 0.4429493546485901, 0.3785282373428345, 0.352085143327713, 0.3887510895729065, 0.4270372688770294, 0.5084757804870605]","[-118.47441864013672, 131.2832489013672, -17.129947662353516, 44.606239318847656, -12.501632690429688, 24.119964599609375, -6.557590007781982, 9.549155235290527, -2.699842691421509, 1.0214825868606567, -2.1199026107788086, 1.392459750175476, 1.4456571340560913]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 4, 5, 7, 4, 7, 8, 7, 8, 9, 3, 8, 9, 1, 8, 9, 1, 8, 9, 1, 8, 9]"
"Eenade Edo Ayyindi Song With Lyrics - Prema Songs -Venkatesh, Revathi, Ilayaraja-Aditya Music Telugu",[92.28515625],"[0.24792127311229706, 0.22047342360019684, 0.2656196057796478, 0.3817495107650757, 0.3925601541996002, 0.29485419392585754, 0.30686014890670776, 0.29780545830726624, 0.3233258128166199, 0.24633574485778809, 0.29442036151885986, 0.37406477332115173]","[-159.46331787109375, 150.2609100341797, -49.707435607910156, 58.98051452636719, -0.6103004813194275, 21.055604934692383, -5.818815231323242, -0.1812744438648224, 7.538964748382568, -5.56374979019165, -3.064363718032837, -6.178269863128662, 2.579913377761841]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 6, 7, 11, 6, 7, 11, 0, 10, 11, 3, 4, 7, 4, 8, 10, 8, 9, 10]"
"Eenade Edo Full Song ll Prema Movie ll Venkatesh, Revathi",[92.21311475],"[0.2719947099685669, 0.22784826159477234, 0.268449991941452, 0.3834836184978485, 0.3938967287540436, 0.2895143926143646, 0.3080245554447174, 0.2808838486671448, 0.3153834640979767, 0.25074878334999084, 0.31284427642822266, 0.3884259760379791]","[-147.35398864746094, 149.53904724121094, -46.46209716796875, 52.37099075317383, 7.122420787811279, 15.326460838317871, 0.024736206978559494, -4.6180877685546875, 9.3734712600708, -4.206464767456055, -2.6787781715393066, -4.880364418029785, -0.6128578186035156]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Egzod & Maestro Chives - Royalty (ft. Neoni) [Official Lyric Video],[161.49902344],"[0.49481767416000366, 0.3993968069553375, 0.38349393010139465, 0.38677793741226196, 0.48659729957580566, 0.39625194668769836, 0.5092818140983582, 0.5373536348342896, 0.4271131157875061, 0.43715155124664307, 0.41056737303733826, 0.548072874546051]","[-83.22711944580078, 153.12193298339844, -39.419063568115234, 49.645729064941406, -9.746519088745117, 19.894132614135742, -9.197868347167969, 8.745335578918457, 2.539902925491333, -0.4226922392845154, 2.7973597049713135, 0.6115813851356506, 4.244710922241211]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 3, 8, 9, 0, 2, 11, 2, 3, 7, 0, 2, 11, 0, 2, 11, 0, 1, 11, 8, 10, 11]"
Ela Ela Naalo,[67.11647727],"[0.5077505707740784, 0.3893998861312866, 0.45506641268730164, 0.43356531858444214, 0.3649134635925293, 0.41116875410079956, 0.35798460245132446, 0.47371000051498413, 0.3429555892944336, 0.3001437783241272, 0.37993574142456055, 0.38947948813438416]","[-113.30778503417969, 137.8907012939453, -14.925111770629883, 30.331899642944336, -13.07620906829834, 25.405757904052734, -17.17825698852539, 14.549381256103516, -3.6740849018096924, 3.2099924087524414, -7.426236152648926, 5.0555877685546875, -2.9862558841705322]","[5, 6, 10, 5, 6, 10, 5, 9, 10, 1, 9, 10, 1, 2, 5, 1, 5, 9, 1, 8, 10, 1, 5, 8, 4, 5, 8, 4, 5, 11]"
Ellie Goulding & Juice WRLD - Hate Me (Official Audio),[99.38401442],"[0.578911542892456, 0.5056992173194885, 0.44168782234191895, 0.4542958438396454, 0.379661500453949, 0.3739228844642639, 0.32650309801101685, 0.3871982991695404, 0.42475247383117676, 0.4306553602218628, 0.5066150426864624, 0.4672682583332062]","[-93.22169494628906, 124.1202621459961, -19.699974060058594, 48.64876174926758, -6.195000171661377, 27.591110229492188, -27.297765731811523, 19.30842399597168, -7.038535118103027, 1.9264415502548218, 0.2713289260864258, -1.0758877992630005, 0.4384402632713318]","[4, 5, 9, 4, 5, 9, 6, 9, 10, 4, 5, 9, 4, 5, 9, 5, 7, 8, 4, 5, 7, 4, 6, 7, 3, 6, 7, 1, 2, 6]"
Em Beihold - Numb Little Bug (Official Lyric Video),[84.72079918],"[0.41481488943099976, 0.4742487668991089, 0.47378775477409363, 0.5203839540481567, 0.419476181268692, 0.36868569254875183, 0.415509968996048, 0.3744122087955475, 0.40265244245529175, 0.3567453920841217, 0.4150553345680237, 0.41221246123313904]","[-143.8267364501953, 122.51888275146484, -30.58664321899414, 33.00394821166992, -14.48340129852295, 16.728132247924805, -11.812413215637207, 9.273078918457031, -11.125458717346191, 0.9472446441650391, -1.7674527168273926, -3.9851624965667725, 2.4741883277893066]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Eminem - Fuel (feat. JID) [Official Audio],[139.67483108],"[0.5214000940322876, 0.5786315202713013, 0.5667895674705505, 0.5860946178436279, 0.6072791218757629, 0.5768316388130188, 0.5492861270904541, 0.5218101143836975, 0.5513566136360168, 0.4911010265350342, 0.4817322790622711, 0.5024004578590393]","[-121.39675903320312, 134.30311584472656, -25.712753295898438, 39.14727783203125, -2.860913038253784, 21.689210891723633, -9.877649307250977, 14.347530364990234, 0.4232039749622345, 5.137045860290527, -0.3084776997566223, 5.350546836853027, 5.152398586273193]","[0, 2, 3, 0, 10, 11, 0, 10, 11, 0, 9, 10, 9, 10, 11, 9, 10, 11, 3, 8, 9, 8, 9, 10, 4, 10, 11, 9, 10, 11]"
"Enduko Emo Song With Lyrics - Rangam Songs - Jiiva, Karthika,Harris Jayaraj- Aditya Music Telugu",[90.66611842],"[0.5166671276092529, 0.4672794044017792, 0.5205903053283691, 0.45664843916893005, 0.3892359733581543, 0.4093354046344757, 0.39563998579978943, 0.4926113188266754, 0.41114088892936707, 0.415595144033432, 0.4529710114002228, 0.4300501048564911]","[-162.56719970703125, 124.3729476928711, 22.018875122070312, 53.23031997680664, -19.711170196533203, 37.45351791381836, -12.931814193725586, 7.293080806732178, -3.827678680419922, 1.4255707263946533, -4.21155309677124, -1.4030228853225708, -3.876354217529297]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Enemy (from the series Arcane League of Legends),[77.13386194],"[0.39225485920906067, 0.44590282440185547, 0.47765108942985535, 0.4359560012817383, 0.4467811584472656, 0.46629777550697327, 0.5079587697982788, 0.428938090801239, 0.361306369304657, 0.37883901596069336, 0.4305014908313751, 0.458702027797699]","[-113.02762603759766, 117.9920654296875, -23.299489974975586, 41.866207122802734, -13.88354206085205, 27.43382453918457, -13.57752799987793, 9.22173023223877, -10.37153148651123, 8.832907676696777, -6.283832550048828, 1.8789238929748535, 0.5274184942245483]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 7, 8, 9, 5, 6, 9]"
Enno Ratrulosthayi Gani,[99.38401442],"[0.35463276505470276, 0.40617403388023376, 0.316560834646225, 0.3814966380596161, 0.3484082520008087, 0.25767841935157776, 0.2594570815563202, 0.2556963264942169, 0.32502853870391846, 0.21900971233844757, 0.2574777603149414, 0.36085045337677]","[-128.7469482421875, 130.79495239257812, -49.6042366027832, 37.67839050292969, -12.006022453308105, 23.344585418701172, 2.185415506362915, 4.193941593170166, -7.321917533874512, 3.799637794494629, -9.499173164367676, -3.0133535861968994, -2.2297918796539307]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
